City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Umm Kaddadah,SD,13.6017,26.6876,54.18,42,7,14.0,clear sky
280,Namibe,AO,-15.1961,12.1522,70.74,83,70,2.33,broken clouds
281,Songjianghe,CN,42.1859,127.479,16.59,67,6,3.09,clear sky
282,Nanortalik,GL,60.1432,-45.2371,27.3,75,100,14.94,overcast clouds
283,Karla,EE,59.3723,24.9275,20.91,85,100,13.8,overcast clouds
284,Chokurdakh,RU,70.6333,147.9167,-8.32,97,100,5.46,overcast clouds
285,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,0,5.75,clear sky
286,Nsukka,NG,6.8561,7.3927,66.36,39,99,3.31,overcast clouds
287,Narasannapeta,IN,18.4167,84.05,81.18,53,9,1.99,clear sky
288,Grindavik,IS,63.8424,-22.4338,23.47,74,0,9.22,clear sky
289,Talnakh,RU,69.4865,88.3972,2.21,98,100,10.87,light snow
290,Upernavik,GL,72.7868,-56.1549,-6.7,72,35,8.81,scattered clouds
291,Bintulu,MY,3.1667,113.0333,79.21,94,40,3.44,scattered clouds
292,Labuan,MY,5.2767,115.2417,73.76,94,40,5.99,scattered clouds
293,Rio Gallegos,AR,-51.6226,-69.2181,55.45,62,0,3.44,clear sky
294,Norman Wells,CA,65.282,-126.8329,-25.56,68,75,3.44,light snow
295,Edd,ER,13.9297,41.6925,76.91,82,43,5.44,light rain
296,Eyl,SO,7.9803,49.8164,77.45,69,19,13.4,few clouds
297,Belmonte,BR,-15.8631,-38.8828,73.83,89,100,6.24,overcast clouds
298,Siklos,HU,45.855,18.2975,46.22,100,14,1.14,few clouds
299,Oxbow,CA,49.2333,-102.1676,-9.36,82,97,3.11,overcast clouds
300,Hobyo,SO,5.3505,48.5268,78.8,73,51,16.51,broken clouds
301,Estelle,US,29.8458,-90.1067,39.2,63,0,0.0,clear sky
302,Dasoguz,TM,41.8363,59.9666,17.55,79,0,2.3,clear sky
303,San Ignacio,BZ,17.1561,-89.0714,68.14,100,100,4.61,light rain
